Month,Market_Visits,Boxes,ToGo_Bags,LbsFood,LbsFood_Distr,DeliverMultnomah,DeliverClackamas
19-Jan,1047,0,0,59538,58824,262,785
19-Feb,888,0,0,41649,41149,222,666
19-Mar,1170,0,0,40130,39648,293,877
19-Apr,937,0,0,48020,47444,234,703
19-May,946,0,0,53728,53083,236,710
19-Jun,947,0,0,70501,69655,238,709
19-Jul,1019,0,0,66004,65212,255,764
19-Aug,961,0,0,52395,51766,240,721
19-Sep,837,0,0,70609,69762,209,628
19-Oct,1094,0,0,55300,54636,273,821
19-Nov,877,0,0,67695,66883,219,658
19-Dec,772,0,0,60495,59769,193,579
20-Jan,933,0,0,71137,70283,233,700
20-Feb,983,0,0,72928,72053,246,737
20-Mar,1058,0,173,58833,58127,302,923
20-Apr,0,330,511,48714,48129,210,631
20-May,0,390,555,62329,61581,236,709
20-Jun,0,374,550,66555,65756,231,693
20-Jul,0,329,708,44489,43955,259,778
20-Aug,0,333,663,39324,38852,249,747
20-Sep,0,395,731,41999,41495,281,845
20-Oct,0,302,394,59509,58795,174,522
20-Nov,0,299,324,34666,34250,156,467
20-Dec,0,340,293,37931,37476,158,475
21-Jan,0,233,249,31549,31170,120,362
21-Feb,0,239,286,38642,38179,131,394
21-Mar,0,321,308,52154,51528,157,472
21-Apr,0,242,261,36145,,,
21-May,,,,,,,
21-Jun,,,,,,,
21-Jul,,,,,,,
