Donation Id,Donor ID,Received Date,Created At,Amount,Deductible Amount,Total Donation Amount,Splits,Fund,Donation Type,Check Number,Check Date,Check Memo,Memo,Source,Transaction ID,Transaction Net,Letter Sent,Email Sent,Is Company?
7569800,6835911,2-Jan-17,"Monday, January 02, 2017 at 04:57 PM",250,250,250,$250.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,250,"Monday, January 02, 2017 at 04:58 PM",,FALSE
7569811,6237567,2-Jan-17,"Monday, January 02, 2017 at 05:02 PM",300,300,300,$300.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,300,"Monday, January 02, 2017 at 05:02 PM",,FALSE
7569816,6835925,2-Jan-17,"Monday, January 02, 2017 at 05:05 PM",100,100,100,$100.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,100,"Monday, January 02, 2017 at 05:05 PM",,FALSE
7569817,6737424,2-Jan-17,"Monday, January 02, 2017 at 05:06 PM",100,100,100,$100.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,100,"Monday, January 02, 2017 at 05:06 PM",,FALSE
7569821,6835967,2-Jan-17,"Monday, January 02, 2017 at 05:09 PM",100,100,100,$100.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,100,"Monday, January 02, 2017 at 05:10 PM",,FALSE
7569824,6766968,2-Jan-17,"Monday, January 02, 2017 at 05:14 PM",50,50,50,$50.00 for General Support (YEA 2016),General Support,Online Donation,,,,YEA 2016,Individual Contributions,,50,"Monday, January 02, 2017 at 05:15 PM",,FALSE
7569827,635138,2-Jan-17,"Monday, January 02, 2017 at 05:22 PM",20,20,20,$20.00 for General Support (Monthly),General Support,Online Donation,,,,Monthly,Individual Contributions,,20,,,FALSE
7569828,6279279,2-Jan-17,"Monday, January 02, 2017 at 05:23 PM",25,25,25,$25.00 for General Support,General Support,Online Donation,,,,,Individual Contributions,,25,,,FALSE
7571238,491194,2-Jan-17,"Monday, January 02, 2017 at 10:10 PM",1809.8,1809.8,1809.8,"$1,809.80 for General Support (Christmas Eve Offering)",General Support,Online Donation,14451,28-Dec-16,,Christmas Eve Offering,Churches & Clubs,,1809.8,"Monday, January 02, 2017 at 10:43 PM",,TRUE
7571248,2378397,2-Jan-17,"Monday, January 02, 2017 at 10:13 PM",100,100,100,$100.00 for General Support,General Support,Money Order,972004,27-Nov-16,,,Individual Contributions,,100,,,FALSE
7573522,6837209,3-Jan-17,"Tuesday, January 03, 2017 at 05:17 PM",10,10,10,$10.00 for General Support (YEA 2016),General Support,Online Donation,,,In honor of Erin Reid,YEA 2016,Individual Contributions,,10,"Tuesday, January 03, 2017 at 05:18 PM",,FALSE
7574152,491179,3-Jan-17,"Tuesday, January 03, 2017 at 07:24 PM",100,100,100,$100.00 for General Support,General Support,Check,4936,1-Jan-17,,,Individual Contributions,,100,,,FALSE
7575091,635141,3-Jan-17,"Tuesday, January 03, 2017 at 09:25 PM",50,50,50,$50.00 for General Support (YEA 2016),General Support,Check,16077,30-Dec-16,,YEA 2016,Individual Contributions,,50,"Tuesday, January 03, 2017 at 09:32 PM",,FALSE
7575096,5411273,3-Jan-17,"Tuesday, January 03, 2017 at 09:25 PM",25,25,25,$25.00 for General Support (YEA 2016),General Support,Check,8586,21-Dec-16,,YEA 2016,Individual Contributions,,25,"Tuesday, January 03, 2017 at 09:32 PM",,FALSE
7575105,7242084,3-Jan-17,"Tuesday, January 03, 2017 at 09:27 PM",4000,4000,4000,"$4,000.00 for General Support",General Support,Check,842,26-Dec-16,,,Foundations/Grants/Government,,4000,"Tuesday, January 03, 2017 at 09:30 PM",,FALSE
7575192,6508200,3-Jan-17,"Tuesday, January 03, 2017 at 09:45 PM",50,50,50,$50.00 for General Support,General Support,Check,2198640,30-Dec-16,,,Corporate,,50,,,TRUE
