,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,2020 Total,2020 Avg,2021 Total,2021 Avg
New Seasons ,"3,795","2,413","2,973","2,634","2,062","2,223","2,876","2,105","1,348","2,999","2,590","2,484","1,585","1,549","2,512","1,614",,,,,,,,,"30,502","2,542","7,260","1,815"
Great Day,687,567,511,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"1,765",147,0,0
Dave's Killer Bread,"1,001","1,571","1,976",387,319,"1,461",345,"1,288","2,213","1,367","1,645","1,659","1,450","1,399","2,305","1,303",,,,,,,,,"15,232","1,269","6,457","1,614"
Pacific Coast,0,0,0,0,"3,240","14,580","7,730","6,318",0,0,0,0,0,0,0,0,,,,,,,,,"31,868","2,656",0,0
Costco,340,397,294,926,794,311,252,396,617,519,160,913,201,180,"1,800","1,012",,,,,,,,,"5,919",493,"3,193",798
Trader Joes,"5,923","4,127","3,620","3,217","4,308","4,268","3,308","3,939","2,961","3,144","3,681","3,120","2,511","3,234","2,623","2,792",,,,,,,,,"45,616","3,801","11,160","2,790"
OFB,"57,520","57,678","47,760","36,359","31,810","42,924","23,099","16,852","22,865","29,303","20,630","22,694","20,426","25,514","29,109","22,624",,,,,,,,,"409,494","34,125","97,673","24,418"
Fred Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Food from Private Donation,"1,871","6,175","1,699","1,833","2,366","2,909","4,064","6,195","8,128","17,147","3,413","4,899","3,602","3,571","13,206","5,910",,,,,,,,,"60,699","5,058","26,289","6,572"
Garden Harvest,0,0,0,"3,358","2,378","2,147","2,415","2,231","3,867","5,030","2,547","2,162","1,774","3,195",600,890,,,,,,,,,"26,135","2,178","6,459","1,615"
Grocery Outlet,0,0,0,0,"7,268",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"7,268",606,0,0
Sysco,0,0,0,0,"7,784",0,400,0,0,0,0,0,0,0,0,0,,,,,,,,,"8,184",682,0,0
Total,"71,137","72,928","58,833","48,714","62,329","66,555","44,489","39,324","41,999","59,509","34,666","37,931","31,549","38,642","52,155","36,145",,,,,,,,,"638,414","53,201","158,491","39,623"
