Month,Market_Visits,Boxes,ToGo_Bags,LbsFood,LbsFood_Distr,DeliverMultnomah,DeliverClackamas
1-Jan-19,1047,0,0,59538,58824,262,785
1-Feb-19,888,0,0,41649,41149,222,666
1-Mar-19,1170,0,0,40130,39648,293,877
1-Apr-19,937,0,0,48020,47444,234,703
1-May-19,946,0,0,53728,53083,236,710
1-Jun-19,947,0,0,70501,69655,238,709
1-Jul-19,1019,0,0,66004,65212,255,764
1-Aug-19,961,0,0,52395,51766,240,721
1-Sep-19,837,0,0,70609,69762,209,628
1-Oct-19,1094,0,0,55300,54636,273,821
1-Nov-19,877,0,0,67695,66883,219,658
1-Dec-19,772,0,0,60495,59769,193,579
1-Jan-20,933,0,0,71137,70283,233,700
1-Feb-20,983,0,0,72928,72053,246,737
1-Mar-20,1058,0,173,58833,58127,302,923
1-Apr-20,0,330,511,48714,48129,210,631
1-May-20,0,390,555,62329,61581,236,709
1-Jun-20,0,374,550,66555,65756,231,693
1-Jul-20,0,329,708,44489,43955,259,778
1-Aug-20,0,333,663,39324,38852,249,747
1-Sep-20,0,395,731,41999,41495,281,845
1-Oct-20,0,302,394,59509,58795,174,522
1-Nov-20,0,299,324,34666,34250,156,467
1-Dec-20,0,340,293,37931,37476,158,475
1-Jan-21,0,233,249,31549,31170,120,362
1-Feb-21,0,239,286,38642,38179,131,394
1-Mar-21,0,321,308,52154,51528,157,472
1-Apr-21,0,242,261,36145,,,
1-May-21,,,,,,,
1-Jun-21,,,,,,,
1-Jul-21,,,,,,,
