Donation_Id,Donor_ID,Received_Date,Created_At,Amount,Deductible_Amount,Total_Donation_Amount,Fund,Donation_Type,Memo,Source,Transaction_Net,Letter_Sent,Email_Sent,Is_Company?
8767690,6835911,1-Jan-19,"Wednesday, January 02, 2019 at 08:53 PM",250,250,250,General Support,Online Donation,2018 YEA,Individual Contributions,250,"Wednesday, January 02, 2019 at 10:09 PM",,FALSE
8767715,635138,1-Jan-19,"Wednesday, January 02, 2019 at 08:58 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
8767725,3941259,1-Jan-19,"Wednesday, January 02, 2019 at 09:01 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
8767729,6279279,1-Jan-19,"Wednesday, January 02, 2019 at 09:02 PM",25,25,25,General Support,Online Donation,Spring Appeal 2018 - Monthly,Individual Contributions,25,,,FALSE
8769795,6359777,3-Jan-19,"Thursday, January 03, 2019 at 06:32 PM",150,150,150,General Support,Online Donation,2018 YEA,Individual Contributions,150,"Thursday, January 03, 2019 at 06:46 PM",,FALSE
8770423,491179,3-Jan-19,"Thursday, January 03, 2019 at 08:32 PM",100,100,100,General Support,Check,Monthly,Individual Contributions,100,,,FALSE
8780866,6154796,1-Jan-19,"Tuesday, January 08, 2019 at 12:48 AM",100,100,100,General Support,Check,Rent January,Churches & Clubs,100,,,TRUE
8785499,6370302,3-Jan-19,"Wednesday, January 09, 2019 at 06:45 PM",25,25,25,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,25,,,FALSE
8785514,8394975,4-Jan-19,"Wednesday, January 09, 2019 at 06:54 PM",100,100,100,General Support,Online Donation,2018 YEA,Individual Contributions,100,,,FALSE
8785756,6777765,4-Jan-19,"Wednesday, January 09, 2019 at 08:30 PM",100,100,100,General Support,Online Donation,2018 YEA,Individual Contributions,100,,,FALSE
8785777,6928123,6-Jan-19,"Wednesday, January 09, 2019 at 08:39 PM",100,100,100,General Support,Online Donation,Monthly,Corporate,100,,,TRUE
8785799,1098438,6-Jan-19,"Wednesday, January 09, 2019 at 08:57 PM",108.33,108.33,108.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,108.33,,,FALSE
8785804,491140,7-Jan-19,"Wednesday, January 09, 2019 at 09:00 PM",150,150,150,General Support,Online Donation,2018 YEA,Churches & Clubs,150,"Friday, January 11, 2019 at 06:46 PM",,TRUE
8785814,6963765,8-Jan-19,"Wednesday, January 09, 2019 at 09:05 PM",250,250,250,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,250,,,FALSE
8785834,7716745,9-Jan-19,"Wednesday, January 09, 2019 at 09:11 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,104.16,,,FALSE
8789192,8197929,9-Jan-19,"Friday, January 11, 2019 at 06:08 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
8789198,6867515,11-Jan-19,"Friday, January 11, 2019 at 06:13 PM",41.66,41.66,41.66,General Support,Online Donation,Monthly,Individual Contributions,41.66,,,FALSE
8790073,8207952,8-Jan-19,"Saturday, January 12, 2019 at 12:59 AM",797.37,797.37,797.37,General Support,Cash,,Corporate,797.37,"Tuesday, January 15, 2019 at 07:27 PM",,TRUE
8793971,7516801,11-Jan-19,"Monday, January 14, 2019 at 09:22 PM",75,75,75,General Support,Check,,Corporate,75,"Thursday, February 21, 2019 at 11:25 PM",,FALSE
8794058,5780124,14-Jan-19,"Monday, January 14, 2019 at 10:50 PM",4565.88,4565.88,4565.88,Targeted Donations,Check,Warming Shelter Funds,Foundations/Grants/Government,4565.88,,,TRUE
8798822,6590912,17-Jan-19,"Thursday, January 17, 2019 at 11:56 PM",22,22,22,General Support,Online Donation,Monthly,Individual Contributions,22,,,FALSE
8798833,6759108,17-Jan-19,"Friday, January 18, 2019 at 12:00 AM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8807339,7369459,22-Jan-19,"Tuesday, January 22, 2019 at 09:23 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
8807363,7702449,22-Jan-19,"Tuesday, January 22, 2019 at 09:41 PM",27,27,27,General Support,Check,,Individual Contributions,27,,,TRUE
8807376,6607035,22-Jan-19,"Tuesday, January 22, 2019 at 09:50 PM",500,500,500,General Support,Check,2018 YEA,Individual Contributions,500,"Tuesday, January 22, 2019 at 09:50 PM",,FALSE
